carb	cult	wat	mainplot	subplot	proline
380	GP	Normal	1.00	1.000	0.09
380	GP	Normal	2.00	2.000	0.18
380	GP	Normal	3.00	3.000	0.23
380	GP	Reduced	1.00	1.000	0.05
380	GP	Reduced	2.00	2.000	0.24
380	GP	Reduced	3.00	3.000	0.11
550	GP	Normal	1.00	4.000	0.07
550	GP	Normal	2.00	5.000	0.21
550	GP	Normal	3.00	6.000	0.09
550	GP	Reduced	1.00	4.000	0.23
550	GP	Reduced	2.00	5.000	0.14
550	GP	Reduced	3.00	6.000	0.27
380	BA	Normal	1.00	1.000	0.27
380	BA	Normal	2.00	2.000	0.03
380	BA	Normal	3.00	3.000	0.21
380	BA	Reduced	1.00	1.000	0.71
380	BA	Reduced	2.00	2.000	0.25
380	BA	Reduced	3.00	3.000	0.33
550	BA	Normal	1.00	4.000	0.06
550	BA	Normal	2.00	5.000	0.32
550	BA	Normal	3.00	6.000	0.43
550	BA	Reduced	1.00	4.000	0.48
550	BA	Reduced	2.00	5.000	0.42
550	BA	Reduced	3.00	6.000	0.46
