Soil	Treatment	Replicate	Sampling	Quantity
1	3	1	1	54932.73
1	3	2	1	67849.237
1	3	3	1	53504.662
1	4	1	1	51522.124
1	4	2	1	205306.336
1	4	3	1	18068.134
1	5	1	1	111261.804
1	5	2	1	111228.182
1	5	3	1	143364.57
1	6	1	1	153593.588
1	6	2	1	452649.473
1	6	3	1	88581.064
2	3	1	1	58538.669
2	3	2	1	78082.369
2	3	3	1	70970.265
2	4	1	1	270764.651
2	4	2	1	219251.199
2	4	3	1	187124.865
2	5	1	1	907082.823
2	5	2	1	1551182.453
2	5	3	1	831527.506
2	6	1	1	1662195.636
2	6	2	1	1436335.009
2	6	3	1	981646.71
1	3	1	2	532430.911
1	3	2	2	920239.269
1	3	3	2	289137.145
1	4	1	2	543095.19
1	4	2	2	374149.491
1	4	3	2	246900.197
1	5	1	2	552016.706
1	5	2	2	392383.538
1	5	3	2	500257.296
1	6	1	2	1311886.172
1	6	2	2	1431184.627
1	6	3	2	1050049.948
2	3	1	2	63235.692
2	3	2	2	526921.835
2	3	3	2	630498.864
2	4	1	2	394948.056
2	4	2	2	42742.034
2	4	3	2	719039.347
2	5	1	2	2486012.338
2	5	2	2	2027360.67
2	5	3	2	2177196.385
2	6	1	2	2444649.218
2	6	2	2	3410611.201
2	6	3	2	2677958.323
1	3	1	3	276254.902
1	3	2	3	568044.224
1	3	3	3	534416.307
1	4	1	3	712908.825
1	4	2	3	1020022.339
1	4	3	3	407768.4
1	5	1	3	818114.11
1	5	2	3	721474.055
1	5	3	3	1198394.541
1	6	1	3	917148.859
1	6	2	3	1350572.605
1	6	3	3	540867.485
2	3	1	3	718709.001
2	3	2	3	403096.404
2	3	3	3	534416.307
2	4	1	3	497891.659
2	4	2	3	335599.002
2	4	3	3	492692.612
2	5	1	3	1872541.393
2	5	2	3	1637636.654
2	5	3	3	1396042.539
2	6	1	3	1715097.201
2	6	2	3	1277786.304
2	6	3	3	2070004.932
