week	gen	rep	plot	y
1	A	rep1	plot1	5
1	D	rep1	plot2	5.86
1	B	rep1	plot3	5.82
1	C	rep1	plot4	5.65
1	C	rep2	plot5	5.39
1	A	rep2	plot6	4.42
1	B	rep2	plot7	5.73
1	D	rep2	plot8	5.82
1	A	rep3	plot9	4.42
1	B	rep3	plot10	5.31
1	C	rep3	plot11	5.15
1	D	rep3	plot12	5.26
1	A	rep4	plot13	4.01
1	C	rep4	plot14	4.5
1	D	rep4	plot15	4.87
1	B	rep4	plot16	4.92
1	D	rep5	plot17	3.96
1	C	rep5	plot18	3.75
1	B	rep5	plot19	3.96
1	A	rep5	plot20	3.36
2	A	rep1	plot1	4.84
2	D	rep1	plot2	5.6
2	B	rep1	plot3	5.6
2	C	rep1	plot4	5.97
2	C	rep2	plot5	5.49
2	A	rep2	plot6	4.3
2	B	rep2	plot7	5.59
2	D	rep2	plot8	5.55
2	A	rep3	plot9	4.1
2	B	rep3	plot10	5.19
2	C	rep3	plot11	5.28
2	D	rep3	plot12	5.06
2	A	rep4	plot13	3.89
2	C	rep4	plot14	4.89
2	D	rep4	plot15	4.75
2	B	rep4	plot16	4.66
2	D	rep5	plot17	3.76
2	C	rep5	plot18	3.74
2	B	rep5	plot19	3.86
2	A	rep5	plot20	3.1
3	A	rep1	plot1	4.02
3	D	rep1	plot2	5.37
3	B	rep1	plot3	5.05
3	C	rep1	plot4	5.27
3	C	rep2	plot5	5.08
3	A	rep2	plot6	3.67
3	B	rep2	plot7	5
3	D	rep2	plot8	5.29
3	A	rep3	plot9	3.46
3	B	rep3	plot10	4.86
3	C	rep3	plot11	4.93
3	D	rep3	plot12	4.76
3	A	rep4	plot13	3.21
3	C	rep4	plot14	4.74
3	D	rep4	plot15	4.55
3	B	rep4	plot16	4.56
3	D	rep5	plot17	3.56
3	C	rep5	plot18	3.55
3	B	rep5	plot19	3.5
3	A	rep5	plot20	2.67
4	A	rep1	plot1	3.75
4	D	rep1	plot2	5
4	B	rep1	plot3	4.72
4	C	rep1	plot4	5.07
4	C	rep2	plot5	4.87
4	A	rep2	plot6	3.23
4	B	rep2	plot7	4.65
4	D	rep2	plot8	4.95
4	A	rep3	plot9	3.09
4	B	rep3	plot10	4.44
4	C	rep3	plot11	4.67
4	D	rep3	plot12	4.48
4	A	rep4	plot13	2.89
4	C	rep4	plot14	4.49
4	D	rep4	plot15	4.33
4	B	rep4	plot16	4.16
4	D	rep5	plot17	3.18
4	C	rep5	plot18	3.28
4	B	rep5	plot19	3.13
4	A	rep5	plot20	2.47
5	A	rep1	plot1	3.13
5	D	rep1	plot2	4.37
5	B	rep1	plot3	4.46
5	C	rep1	plot4	4.52
5	C	rep2	plot5	4.32
5	A	rep2	plot6	2.83
5	B	rep2	plot7	4.42
5	D	rep2	plot8	4.07
5	A	rep3	plot9	2.82
5	B	rep3	plot10	4.22
5	C	rep3	plot11	4.15
5	D	rep3	plot12	3.94
5	A	rep4	plot13	2.56
5	C	rep4	plot14	4.1
5	D	rep4	plot15	3.83
5	B	rep4	plot16	3.99
5	D	rep5	plot17	2.96
5	C	rep5	plot18	3
5	B	rep5	plot19	2.95
5	A	rep5	plot20	2.16
