grp	plant	time	y	count	ftime
g.1	11	1	14.1497	26	1
g.1	11	5	17.2428	53	5
g.1	11	7	18.5126	71	7
g.1	12	1	14.624	29	1
g.1	12	5	17.7085	59	5
g.1	12	7	19.6379	92	7
g.1	13	1	13.8021	24	1
g.1	13	5	17.4036	55	5
g.1	13	7	19.4939	89	7
g.1	14	1	13.8021	24	1
g.1	14	5	17.16	52	5
g.1	14	7	19.1908	83	7
g.1	15	1	14.4716	28	1
g.1	15	5	17.5587	57	5
g.1	15	7	19.6848	93	7
g.1	16	1	13.0103	20	1
g.1	16	5	16.0206	40	5
g.1	16	7	17.9239	62	7
g.2	21	1	13.9794	25	1
g.2	21	5	16.8124	48	5
g.2	21	7	18.1954	66	7
g.2	22	1	14.4716	28	1
g.2	22	5	17.0757	51	5
g.2	22	7	18.3885	69	7
g.2	23	1	14.3136	27	1
g.2	23	5	17.0757	51	5
g.2	23	7	18.3251	68	7
g.2	24	1	13.9794	25	1
g.2	24	5	16.4345	44	5
g.2	24	7	18.0618	64	7
g.2	25	1	13.2222	21	1
g.2	25	5	15.9106	39	5
g.2	25	7	17.6343	58	7
g.2	26	1	14.3136	27	1
g.2	26	5	16.721	47	5
g.2	26	7	18.0618	64	7
g.3	31	1	13.6173	23	1
g.3	31	5	16.4345	44	5
g.3	31	7	18.451	70	7
g.3	32	1	13.4242	22	1
g.3	32	5	16.2325	42	5
g.3	32	7	17.7815	60	7
g.3	33	1	13.9794	25	1
g.3	33	5	16.8124	48	5
g.3	33	7	18.5126	71	7
g.3	34	1	13.4242	22	1
g.3	34	5	16.0206	40	5
g.3	34	7	18.0618	64	7
g.3	35	1	13.2222	21	1
g.3	35	5	16.0206	40	5
g.3	35	7	17.6343	58	7
g.3	36	1	13.2222	21	1
g.3	36	5	16.4345	44	5
g.3	36	7	17.8533	61	7
g.4	41	1	12.7875	19	1
g.4	41	5	16.5321	45	5
g.4	41	7	18.1954	66	7
g.4	42	1	13.0103	20	1
g.4	42	5	17.5587	57	5
g.4	42	7	18.6923	74	7
g.4	43	1	14.1497	26	1
g.4	43	5	16.721	47	5
g.4	43	7	19.0309	80	7
g.4	44	1	13.4242	22	1
g.4	44	5	16.721	47	5
g.4	44	7	18.6923	74	7
g.4	45	1	12.7875	19	1
g.4	45	5	16.8124	48	5
g.4	45	7	17.9934	63	7
g.4	46	1	13.6173	23	1
g.4	46	5	16.8124	48	5
g.4	46	7	18.5126	71	7
g.5	51	1	13.6173	23	1
g.5	51	5	16.9897	50	5
g.5	51	7	19.4448	88	7
g.5	52	1	12.7875	19	1
g.5	52	5	16.6276	46	5
g.5	52	7	18.7506	75	7
g.5	53	1	14.7712	30	1
g.5	53	5	17.5587	57	5
g.5	53	7	20.2119	105	7
g.5	54	1	13.2222	21	1
g.5	54	5	17.3239	54	5
g.5	54	7	19.0849	81	7
g.5	55	1	13.6173	23	1
g.5	55	5	17.4819	56	5
g.5	55	7	19.4448	88	7
g.5	56	1	13.9794	25	1
g.5	56	5	17.7085	59	5
g.5	56	7	19.3952	87	7
