yield	block	row	col	nitro	potash
332	B3	8	1	d	0
444.5	B3	7	1	c	1
363	B3	6	1	a	1
447.5	B3	5	1	b	4
351.5	B1	4	1	a	0
472.5	B1	3	1	c	1
357.5	B1	2	1	b	0
385.5	B1	1	1	d	0
302.5	B3	8	2	c	0
568	B3	7	2	d	4
368	B3	6	2	a	2
314	B3	5	2	b	0
495.5	B1	4	2	c	2
367.5	B1	3	2	a	1
381.5	B1	2	2	b	1
354	B1	1	2	b	4
383	B3	8	3	b	1
450	B3	7	3	d	1
449	B3	6	3	c	4
527	B3	5	3	d	2
443	B1	4	3	c	0
455.5	B1	3	3	b	2
531	B1	2	3	d	4
496.5	B1	1	3	d	2
317.5	B3	8	4	a	0
381.5	B3	7	4	a	4
471.5	B3	6	4	c	2
434.5	B3	5	4	b	2
383.5	B1	4	4	a	2
502.5	B1	3	4	d	1
316	B1	2	4	a	4
474.5	B1	1	4	c	4
439	B4	8	5	a	4
483.5	B4	7	5	c	2
422	B4	6	5	b	4
504	B4	5	5	c	4
559	B2	4	5	d	2
328.5	B2	3	5	a	2
522	B2	2	5	d	0
410.5	B2	1	5	b	1
533.5	B4	8	6	d	1
308	B4	7	6	a	1
500	B4	6	6	d	2
561.5	B4	5	6	d	4
550	B2	4	6	d	4
390.5	B2	3	6	b	4
444	B2	2	6	c	4
351.5	B2	1	6	b	2
544.5	B4	8	7	c	1
434	B4	7	7	b	1
402	B4	6	7	b	2
356	B4	5	7	a	2
359	B2	4	7	a	1
483	B2	3	7	c	0
325	B2	2	7	a	0
430	B2	1	7	c	1
404.5	B4	8	8	a	0
468	B4	7	8	d	0
318	B4	6	8	b	0
456	B4	5	8	c	0
395.5	B2	4	8	b	0
512	B2	3	8	d	1
259	B2	2	8	a	4
394.5	B2	1	8	c	2
