year	yield	row	col	trt
1925	444	4	1	M
1925	459	3	1	O
1925	436	2	1	P
1925	453	1	1	S
1925	422	4	2	P
1925	439	3	2	S
1925	428	2	2	M
1925	417	1	2	O
1925	353	4	3	O
1925	423	3	3	M
1925	445	2	3	S
1925	410	1	3	P
1925	398	4	4	S
1925	409	3	4	P
1925	392	2	4	O
1925	393	1	4	M
1927	580.993102043431	4	1	M
1927	485.277382640984	3	1	S
1927	467.039755103012	2	1	P
1927	566.51241583722	1	1	O
1927	722.504122678761	4	2	S
1927	345.986980445095	3	2	P
1927	326.357664863594	2	2	O
1927	553.215947841385	1	2	M
1927	461.864529271515	4	3	O
1927	443.615027444909	3	3	M
1927	521.719533059716	2	3	S
1927	543.460567409289	1	3	P
1927	512.995934989754	4	4	P
1927	378.380976595151	3	4	O
1927	461.827922742403	2	4	M
1927	642.008768179672	1	4	S
