Block	N	Var	Yield
1	1	1	4520
1	1	2	4034
1	1	3	3554
1	1	4	4216
1	2	1	5598
1	2	2	6682
1	2	3	4948
1	2	4	5372
1	3	1	5806
1	3	2	5738
1	3	3	5974
1	3	4	4276
1	4	1	6192
1	4	2	6869
1	4	3	5522
1	4	4	2504
1	5	1	7470
1	5	2	7862
1	5	3	7260
1	5	4	1594
1	6	1	8542
1	6	2	6318
1	6	3	5684
1	6	4	2338
2	1	1	4208
2	1	2	5044
2	1	3	2674
2	1	4	4212
2	2	1	5256
2	2	2	5948
2	2	3	6094
2	2	4	4694
2	3	1	6600
2	3	2	6307
2	3	3	5904
2	3	4	5924
2	4	1	7146
2	4	2	7072
2	4	3	5970
2	4	4	5126
2	5	1	7578
2	5	2	6324
2	5	3	6392
2	5	4	1690
2	6	1	9012
2	6	2	7567
2	6	3	7302
2	6	4	1560
3	1	1	4030
3	1	2	3840
3	1	3	3304
3	1	4	5016
3	2	1	6162
3	2	2	5316
3	2	3	5286
3	2	4	4382
3	3	1	6794
3	3	2	6732
3	3	3	6104
3	3	4	4236
3	4	1	6860
3	4	2	6744
3	4	3	6550
3	4	4	3818
3	5	1	7642
3	5	2	6666
3	5	3	6410
3	5	4	2856
3	6	1	8548
3	6	2	5736
3	6	3	5210
3	6	4	1744
